k,"['CF_rmse', 'CF_mae']"
5,"[0.97401989681992518, 0.87545567564393367]"
10,"[0.97254797471053844, 0.8747854167038458]"
20,"[0.97140233818238164, 0.87384422666099559]"
50,"[0.97397645310849723, 0.87491733134349703]"
100,"[0.97446352370043665, 0.87544868590925728]"
150,"[0.97526871401806414, 0.87595439689709964]"
