k,"['CF_rmse', 'CF_mae']"
5,"[0.98771672750523387, 0.88002950350860676]"
10,"[0.98100858900788668, 0.87706421517729838]"
20,"[0.9780037974979735, 0.87551043398632911]"
50,"[0.97544512010717488, 0.8745530846047459]"
100,"[0.97519706873716061, 0.87457254951851049]"
150,"[0.97485647811181531, 0.87443573591700796]"
