20,"[3.8100896699378706, 1.9453277821982871]"
25,"[3.8100896699378706, 1.9453277821982871]"
30,"[3.7624746409554377, 1.9292814002802166]"
35,"[3.727520069042896, 1.9184979046501489]"
40,"[3.6680621930439283, 1.8993390862581168]"
45,"[3.6437763261500744, 1.8906542793663206]"
50,"[3.6091926204380993, 1.8790120959564536]"
